datetime,CT,cash,commission,total,returns,equity_curve,drawdown
1985-07-08,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-09,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-10,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-11,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-12,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-15,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-16,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-17,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-18,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-19,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-22,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-23,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-24,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-25,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-26,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-29,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-30,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-07-31,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-01,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-02,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-05,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-06,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-07,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-08,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-09,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-12,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-13,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-14,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-15,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-16,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-19,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-20,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-21,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-22,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-23,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-26,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-27,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-28,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-29,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-08-30,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-03,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-04,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-05,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-06,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-09,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-10,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-11,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-12,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-13,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-16,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-17,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-18,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-19,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-20,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-23,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-24,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-25,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-26,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-09-30,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-01,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-02,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-03,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-04,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-07,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-08,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-09,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-10,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-11,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-14,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-15,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-16,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-17,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-18,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-21,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-22,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-23,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-24,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-25,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-28,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-29,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-30,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-10-31,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-11-01,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-11-04,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-11-05,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-11-06,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-11-07,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-11-08,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-11-11,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-11-12,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-11-13,0.0,105140.19999999987,59.79999999999995,105140.19999999987,0.0,1.0514019999999968,0.02868900000000063
1985-11-14,6175.0,98931.89999999986,61.099999999999945,105106.89999999986,-0.0003167199605860205,1.0510689999999967,0.02902200000000077
1985-11-15,6127.0,98931.89999999986,61.099999999999945,105058.89999999986,-0.00045667791553172243,1.0505889999999967,0.029502000000000805
1985-11-18,6154.0,98931.89999999986,61.099999999999945,105085.89999999986,0.0002569986931140189,1.0508589999999967,0.029232000000000813
1985-11-19,6191.0,98931.89999999986,61.099999999999945,105122.89999999986,0.00035209290685056516,1.0512289999999966,0.02886200000000083
1985-11-20,6171.0,98931.89999999986,61.099999999999945,105102.89999999986,-0.00019025350328039092,1.0510289999999967,0.02906200000000081
1985-11-21,6198.0,98931.89999999986,61.099999999999945,105129.89999999986,0.00025689110386117875,1.0512989999999969,0.028792000000000595
1985-11-22,6236.0,98931.89999999986,61.099999999999945,105167.89999999986,0.00036145758723260535,1.051678999999997,0.028412000000000548
1985-11-25,6159.0,98931.89999999986,61.099999999999945,105090.89999999986,-0.0007321625705182244,1.050908999999997,0.029182000000000485
1985-11-26,6177.0,98931.89999999986,61.099999999999945,105108.89999999986,0.00017128029163315794,1.0510889999999968,0.02900200000000064
1985-11-27,6087.0,98931.89999999986,61.099999999999945,105018.89999999986,-0.0008562547985946356,1.0501889999999967,0.02990200000000076
1985-11-29,6023.0,98931.89999999986,61.099999999999945,104954.89999999986,-0.0006094141149831644,1.0495489999999967,0.030542000000000735
1985-12-02,6029.0,98931.89999999986,61.099999999999945,104960.89999999986,5.7167411907421695e-05,1.0496089999999967,0.030482000000000786
1985-12-03,6076.0,98931.89999999986,61.099999999999945,105007.89999999986,0.00044778579451976164,1.0500789999999969,0.030012000000000594
1985-12-04,6068.0,98931.89999999986,61.099999999999945,104999.89999999986,-7.618474419546217e-05,1.0499989999999968,0.030092000000000674
1985-12-05,6040.0,98931.89999999986,61.099999999999945,104971.89999999986,-0.0002666669206351502,1.0497189999999967,0.030372000000000732
1985-12-06,6059.0,98931.89999999986,61.099999999999945,104990.89999999986,0.00018100082021943464,1.0499089999999967,0.03018200000000082
1985-12-09,6077.0,98931.89999999986,61.099999999999945,105008.89999999986,0.00017144342985919714,1.0500889999999967,0.03000200000000075
1985-12-10,6000.0,98931.89999999986,61.099999999999945,104931.89999999986,-0.0007332711798714309,1.0493189999999968,0.030772000000000688
