datetime,ZN,cash,commission,total,returns,equity_curve,drawdown
2004-05-13,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-05-14,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-05-17,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-05-18,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-05-19,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-05-20,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-05-21,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-05-24,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-05-25,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-05-26,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-05-27,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-05-28,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-01,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-02,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-03,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-04,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-07,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-08,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-09,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-10,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-14,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-15,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-16,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-17,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-18,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-21,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-22,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-23,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-24,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-25,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-28,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-29,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-06-30,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-01,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-02,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-06,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-07,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-08,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-09,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
2004-07-12,0.0,99876.33749999976,106.59999999999985,99876.33749999976,0.0,0.9987633749999733,1.1548409374999906
